epoch,train_loss,val_loss,lr
0,0.659065,2.655747,9.99e-04
1,0.374142,2.063867,9.96e-04
2,0.308823,1.566080,9.91e-04
3,0.266061,1.172153,9.84e-04
4,0.256386,0.983153,9.76e-04
5,0.246392,0.832654,9.65e-04
6,0.227859,0.813818,9.52e-04
7,0.213216,0.688680,9.38e-04
8,0.194066,0.672537,9.22e-04
9,0.189118,0.599912,9.05e-04
10,0.173662,0.534473,8.85e-04
11,0.159396,0.511955,8.64e-04
12,0.164655,0.408625,8.42e-04
13,0.143615,0.414796,8.19e-04
14,0.136538,0.556368,7.94e-04
15,0.112216,0.332627,7.68e-04
16,0.114006,0.337279,7.41e-04
17,0.105933,0.356200,7.13e-04
18,0.100516,0.379742,6.84e-04
19,0.095465,0.289102,6.55e-04
20,0.090419,0.272755,6.24e-04
21,0.088782,0.270071,5.94e-04
22,0.087585,0.313082,5.63e-04
23,0.085914,0.294487,5.31e-04
24,0.083960,0.283267,5.00e-04
25,0.084527,0.368887,4.69e-04
26,0.079116,0.288237,4.37e-04
27,0.074125,0.295859,4.06e-04
