epoch, train_loss, val_loss, lr
0, 1.6224682156459704, 2.2365854740142823, 9.99e-04
1, 2.2274423148180986, 2.23556447402851, 9.96e-04
2, 2.2269385680636846, 2.235513150369799, 9.91e-04
3, 2.2268771621987624, 2.2354938329232708, 9.84e-04
4, 2.2268526874039622, 2.2354610425717123, 9.76e-04
5, 2.226850448814598, 2.2355265171463423, 9.65e-04
6, 2.2268499447848344, 2.23552520958153, 9.52e-04
7, 2.2268497287582707, 2.2354968997594473, 9.38e-04
8, 2.226847135247411, 2.235514426489134, 9.22e-04
9, 2.2268408580406294, 2.2354716286788117, 9.05e-04
